,股票代码,股票简称,关注,最新价
564,SZ002908,德生科技,21,9.27
565,SH600362,江西铜业,21,25.9
566,SH600250,南京商旅,21,10.8
567,SH603127,昭衍新药,21,18.35
568,SH600588,用友网络,21,11.2
569,SZ000069,华侨城A,21,2.53
570,SZ002868,绿康生化,21,16.56
571,SZ002528,英飞拓,21,6.24
572,SZ002475,立讯精密,21,27.82
573,SH603929,亚翔集成,21,20.83
574,SH600497,驰宏锌锗,21,6.11
575,SH600132,重庆啤酒,21,65.28
576,SH603119,浙江荣泰,21,24.87
577,SZ300503,昊志机电,21,13.62
578,SH601111,中国国航,21,7.09
579,SZ300654,世纪天鸿,21,10.65
580,SZ002279,久其软件,21,5.29
581,SH603679,华体科技,21,12.44
582,SH688556,高测股份,21,28.57
583,SZ300724,捷佳伟创,21,56.08
584,SZ000799,酒鬼酒,20,51.44
585,SZ001366,播恩集团,20,12.53
586,SH600999,招商证券,20,13.49
587,SZ002368,太极股份,20,22.39
588,SZ001266,宏英智能,20,24.2
589,SZ000888,峨眉山A,20,14.71
590,SH603261,立航科技,20,33.22
591,SZ002372,伟星新材,20,16.01
592,SZ300144,宋城演艺,20,10.74
593,SZ300101,振芯科技,20,15.6
594,SZ300537,广信材料,20,14.81
595,SZ300142,沃森生物,20,14.43
596,SH600919,江苏银行,20,7.9
597,SH603004,鼎龙科技,20,21.38
598,SZ000070,特发信息,20,7.97
599,SZ002677,浙江美大,20,9.55
600,SZ002677,浙江美大,20,9.55
601,SZ000070,特发信息,20,7.97
602,SZ002859,洁美科技,20,20.49
603,SH601086,国芳集团,20,5.62
604,SZ300154,瑞凌股份,20,5.72
605,SH600710,苏美达,20,8.8
606,SZ300406,九强生物,20,17.39
607,SZ300608,思特奇,20,11.51
608,SZ300809,华辰装备,20,23.25
609,SZ002284,亚太股份,20,7.19
610,SZ002712,思美传媒,20,4.42
611,SZ002178,延华智能,20,4.59
612,SZ000719,中原传媒,20,11.51
613,SH603131,上海沪工,20,13.37
614,SH600580,卧龙电驱,20,14.25
615,SZ002970,锐明技术,20,28.66
616,SZ300139,晓程科技,20,14.47
617,SZ002409,雅克科技,20,53.7
618,SZ300844,山水比德,20,23.09
619,SZ002762,金发拉比,20,7.22
620,SH688656,浩欧博,20,24.07
621,SH605178,时空科技,19,15.8
622,SZ300250,初灵信息,19,13.55
623,SZ000723,美锦能源,19,6.42
624,SZ300097,智云股份,19,7.25
625,SH688396,华润微,19,39.45
626,SZ001376,百通能源,19,22.37
627,SH603788,宁波高发,19,12.75
628,SZ002038,双鹭药业,19,8.42
629,SH600449,宁夏建材,19,14.78
630,SH601519,大智慧,19,6.54
631,SZ301029,怡合达,19,23.75
632,SZ301203,国泰环保,19,32.22
633,SZ002756,永兴材料,19,49.5
634,SZ300793,佳禾智能,19,13.21
635,SZ300770,新媒股份,19,37.22
636,SZ301231,荣信文化,19,18.97
637,SH600733,北汽蓝谷,19,7.0
638,SZ301218,华是科技,19,22.48
639,SH601999,出版传媒,19,6.08
640,SH600867,通化东宝,19,10.03
641,SZ000700,模塑科技,19,6.27
642,SH603282,亚光股份,19,20.48
643,SZ300223,北京君正,19,61.75
644,SZ300812,易天股份,19,24.22
645,SH603726,朗迪集团,19,12.24
646,SH600200,江苏吴中,19,11.57
647,SH600757,长江传媒,19,7.71
648,SZ000034,神州数码,19,28.31
649,SZ002638,勤上股份,19,2.16
650,SH603825,华扬联众,19,9.67
651,SH603697,有友食品,19,6.59
652,SZ002119,康强电子,19,12.08
653,SH603163,圣晖集成,19,26.87
654,SZ002906,华阳集团,19,28.57
655,SZ002335,科华数据,19,28.08
656,SZ002103,广博股份,18,6.21
657,SH600287,江苏舜天,18,5.09
658,SZ003007,直真科技,18,31.0
659,SH600637,东方明珠,18,6.99
660,SZ301311,昆船智能,18,18.9
661,SZ301363,美好医疗,18,23.86
662,SZ300049,福瑞股份,18,48.88
663,SZ300291,百纳千成,18,5.01
664,SZ002050,三花智控,18,20.87
665,SZ000851,高鸿股份,18,4.62
666,SH601633,长城汽车,18,25.43
667,SZ000826,启迪环境,18,2.51
668,SZ000815,美利云,18,8.73
669,SH600750,江中药业,18,24.84
670,SZ002885,京泉华,18,12.52
671,SZ002472,双环传动,18,21.6
672,SH601066,中信建投,18,20.65
673,SH600228,返利科技,18,5.83
674,SZ000989,九芝堂,18,8.59
675,SZ000636,风华高科,18,11.5
676,SZ301252,同星科技,18,37.61
677,SZ002981,朝阳科技,18,30.0
678,SZ002959,小熊电器,18,55.21
679,SZ300229,拓尔思,18,14.76
680,SZ002603,以岭药业,18,19.63
681,SZ002642,荣联科技,18,5.98
682,SZ002406,远东传动,18,5.84
683,SH601328,交通银行,18,6.55
684,SH601169,北京银行,18,5.6
685,SZ002663,普邦股份,18,1.58
686,SZ002194,武汉凡谷,18,9.5
687,SH601100,恒立液压,18,52.05
688,SZ000828,东莞控股,18,9.88
689,SH601658,邮储银行,18,4.6
690,SH605180,华生科技,18,14.98
691,SZ300001,特锐德,18,18.93
692,SZ002007,华兰生物,18,18.79
693,SZ300799,*ST左江,18,15.11
694,SH603738,泰晶科技,18,12.93
695,SZ002907,华森制药,18,13.52
696,SZ002232,启明信息,18,13.61
697,SZ002737,葵花药业,18,25.65
698,SZ301226,祥明智能,18,16.27
699,SZ301038,深水规院,18,14.1
700,SZ003032,传智教育,18,10.7
701,SH600336,澳柯玛,18,5.25
